dt=50;dt=150;dt=700;dt=2000
0.1701201;0.2833942;0.5486597;0.494628
0.1696452;0.2840532;0.5497822;0.4957778
0.1692782;0.2847808;0.5508419;0.496899
0.1689611;0.2854141;0.5519313;0.4980491
0.1686527;0.2862402;0.5530333;0.49919
0.168575;0.2868509;0.5540759;0.5003564
0.1682499;0.2873803;0.5552084;0.5014621
0.1679878;0.2879286;0.5562392;0.5025416
0.1676895;0.2884773;0.5573044;0.5036288
0.1674343;0.2890989;0.5584342;0.5047535
0.1671975;0.2895738;0.5595536;0.5059076
0.1669052;0.2900375;0.5606535;0.5070066
0.1666608;0.2905364;0.5618218;0.5081341
0.1665177;0.2909263;0.5630272;0.5092673
0.1666151;0.2915014;0.5641831;0.5104298
0.1666974;0.2918622;0.5654062;0.5115743
0.1667274;0.2923036;0.5666402;0.5127962
0.1667497;0.2928124;0.5678415;0.5140229
0.1668116;0.2931122;0.5689496;0.515217
0.1667559;0.2933568;0.5700618;0.5163497
0.1667682;0.2937012;0.5711963;0.517439
0.1667011;0.2939016;0.5722974;0.518512
0.166472;0.2941775;0.5733479;0.5195825
0.1663783;0.2941915;0.5743965;0.5206546
0.1660002;0.294249;0.5754115;0.5217642
0.1658149;0.2944538;0.5764941;0.5228567
0.1656246;0.2945467;0.5775931;0.5239973
0.1656486;0.2947145;0.5787134;0.5250918
0.165588;0.2948568;0.5798859;0.5261569
0.1654906;0.2950071;0.5810213;0.5271716
0.1653148;0.2951459;0.5821176;0.5282308
0.164968;0.2953344;0.5831349;0.5292599
0.1646836;0.2954025;0.5842073;0.5302805
0.1645033;0.2954252;0.5852572;0.5313226
0.1643681;0.2954854;0.5862759;0.5323919
0.1642492;0.2953363;0.5873019;0.5334901
0.164186;0.2950961;0.5883206;0.5345881
0.1639555;0.2949004;0.5892665;0.5356551
0.1636187;0.2946691;0.5902178;0.5366888
0.163182;0.2943829;0.5911094;0.537678
0.1626605;0.2938471;0.5920253;0.5386892
0.1622242;0.2932484;0.5929165;0.5397212
0.1619228;0.2929126;0.5937906;0.5407123
0.1615581;0.2924884;0.5947127;0.5417078
0.1608632;0.292119;0.5956115;0.5426926
0.160277;0.2919254;0.5965251;0.5437511
0.159498;0.2915753;0.5974403;0.5447795
0.1588272;0.2912459;0.5983592;0.5457741
0.1583665;0.2910316;0.5992717;0.546763
0.1579651;0.2908604;0.6001671;0.5478128
0.1576996;0.2907508;0.6010107;0.5488347
0.1573869;0.2905237;0.6018138;0.5498788
0.15699;0.2902043;0.602683;0.5509213
0.1565535;0.289863;0.6035045;0.5519652
0.1564605;0.289585;0.6043228;0.5530475
0.1562309;0.2892254;0.6051903;0.5540799
0.1559918;0.2887835;0.6061043;0.5551937
0.1556922;0.2883842;0.6069855;0.5563253
0.1557255;0.28815;0.6078966;0.5574559
0.1558362;0.2878181;0.6088071;0.558514
0.1558726;0.2873788;0.6096778;0.5595955
0.1561192;0.2869038;0.6105322;0.5606809
0.1563671;0.2864501;0.6114677;0.5617592
0.1564236;0.286026;0.6123885;0.5627584
0.1564413;0.2854683;0.6133013;0.5636996
0.1565829;0.2849248;0.6141432;0.5646687
0.15664;0.2844282;0.6150459;0.5657181
0.1567259;0.2839725;0.6158556;0.5667132
0.1570035;0.2835996;0.6166525;0.5677021
0.1573667;0.2833208;0.617441;0.5686773
0.1576714;0.2830539;0.6183116;0.5697605
0.1580941;0.2829192;0.6192181;0.5707949
0.1586067;0.2826534;0.620012;0.5718013
0.159101;0.2824304;0.6209331;0.572781
0.1595241;0.2821893;0.6218537;0.5737899
