voltage,motion,temperature,sound,voc,illuminace,humidity,timestamp
6.52,169,24.33,45.07,26,542.43,32.14,2021-10-23T12:08:52.038910
6.52,130,24.33,45.07,26,542.43,32.14,2021-10-23T12:08:52.046374
6.52,130,24.33,45.07,26,542.43,32.14,2021-10-23T12:08:52.052732
6.45,130,24.33,45.07,26,542.43,32.14,2021-10-23T12:08:52.222966
6.45,130,24.33,45.07,26,542.43,32.14,2021-10-23T12:08:52.288472
6.45,130,24.31,45.07,26,542.43,32.14,2021-10-23T12:08:53.200209
6.45,130,24.31,45.07,26,542.43,32.14,2021-10-23T12:08:53.226065
6.45,130,24.31,49.34,26,542.43,32.14,2021-10-23T12:08:53.709516
6.45,130,24.31,49.34,26,541.26,32.14,2021-10-23T12:08:53.739179
6.45,130,24.31,49.34,30,541.26,32.14,2021-10-23T12:08:53.742289
6.48,130,24.31,49.34,30,541.26,32.14,2021-10-23T12:08:53.794365
6.48,130,24.31,49.34,30,541.26,32.14,2021-10-23T12:08:53.833472
6.48,130,24.31,49.34,30,541.26,32.14,2021-10-23T12:08:53.843291
6.48,130,24.31,49.34,30,541.26,32.14,2021-10-23T12:08:53.850796
6.48,130,24.31,49.34,30,541.26,32.14,2021-10-23T12:08:53.873481
6.48,137,24.31,49.34,30,541.26,32.14,2021-10-23T12:08:53.943816
6.48,137,24.31,49.34,30,541.26,32.14,2021-10-23T12:08:53.979619
6.48,137,24.33,49.34,30,541.26,32.14,2021-10-23T12:08:54.018667
6.48,137,24.33,49.34,30,541.26,32.14,2021-10-23T12:08:54.050608
6.48,137,24.33,55.12,30,541.26,32.14,2021-10-23T12:08:54.326484
6.48,137,24.33,55.12,30,541.26,32.14,2021-10-23T12:08:54.336162
6.48,137,24.33,55.12,30,540.87,32.14,2021-10-23T12:08:54.361406
6.48,137,24.33,55.12,30,540.87,32.14,2021-10-23T12:08:54.366816
6.48,121,24.33,55.12,30,540.87,32.14,2021-10-23T12:08:54.444940
6.48,121,24.33,55.12,30,540.87,32.14,2021-10-23T12:08:54.450202
6.48,121,24.34,55.12,30,540.87,32.14,2021-10-23T12:08:55.364004
6.48,121,24.34,55.12,30,540.87,32.14,2021-10-23T12:08:55.373599
6.47,121,24.34,55.12,30,540.87,32.14,2021-10-23T12:08:55.526592
6.47,121,24.34,55.12,30,540.87,32.14,2021-10-23T12:08:55.618701
6.47,121,24.34,54.9,30,540.87,32.14,2021-10-23T12:08:55.900806
6.47,121,24.34,54.9,30,540.87,32.14,2021-10-23T12:08:55.942145
6.47,121,24.34,54.9,30,541.26,32.14,2021-10-23T12:08:56.043389
6.47,82,24.34,54.9,30,541.26,32.14,2021-10-23T12:08:56.058387
6.47,82,24.34,54.9,30,541.26,32.14,2021-10-23T12:08:56.060217
6.47,82,24.34,54.9,30,541.26,32.14,2021-10-23T12:08:56.081341
6.47,82,24.34,54.42,30,541.26,32.14,2021-10-23T12:08:56.253678
6.47,82,24.34,54.42,30,541.26,32.14,2021-10-23T12:08:56.266248
6.47,74,24.34,54.42,30,541.26,32.14,2021-10-23T12:08:56.370579
6.47,74,24.34,54.42,30,541.26,32.14,2021-10-23T12:08:56.377296
6.47,74,24.36,54.42,30,541.26,32.14,2021-10-23T12:08:57.195754
6.47,74,24.36,54.42,30,541.26,32.14,2021-10-23T12:08:57.207920
6.85,74,24.36,54.42,30,541.26,32.14,2021-10-23T12:08:57.249906
6.85,74,24.36,54.42,30,541.26,32.14,2021-10-23T12:08:57.296262
6.85,74,24.31,54.42,30,541.26,32.14,2021-10-23T12:08:57.940828
6.85,74,24.31,54.42,30,541.26,32.14,2021-10-23T12:08:57.960197
6.85,74,24.31,52.86,30,541.26,32.14,2021-10-23T12:08:58.140746
6.85,74,24.31,52.86,30,540.87,32.14,2021-10-23T12:08:58.192880
6.85,74,24.31,52.86,30,540.87,32.14,2021-10-23T12:08:58.194089
6.85,74,24.31,52.86,32,540.87,32.14,2021-10-23T12:08:58.209606
6.85,74,24.31,52.86,32,540.87,32.14,2021-10-23T12:08:58.238792
6.85,74,24.31,52.86,32,540.87,32.14,2021-10-23T12:08:58.247286
6.85,41,24.31,52.86,32,540.87,32.14,2021-10-23T12:08:58.260784
6.85,41,24.31,52.86,32,540.87,32.14,2021-10-23T12:08:58.288877
6.85,41,24.31,54.98,32,540.87,32.14,2021-10-23T12:08:58.474704
6.85,41,24.31,54.98,32,540.87,32.14,2021-10-23T12:08:58.481435
6.85,37,24.31,54.98,32,540.87,32.14,2021-10-23T12:08:58.587371
6.85,37,24.31,54.98,32,540.87,32.14,2021-10-23T12:08:58.601173
6.75,37,24.31,54.98,32,540.87,32.14,2021-10-23T12:08:58.985809
6.75,37,24.31,54.98,32,540.87,32.14,2021-10-23T12:08:59.001035
6.75,37,24.34,54.98,32,540.87,32.14,2021-10-23T12:08:59.428380
6.75,37,24.34,54.98,32,540.87,32.14,2021-10-23T12:08:59.472586
6.75,37,24.34,53.74,32,540.87,32.14,2021-10-23T12:08:59.733580
6.75,37,24.34,53.74,32,540.87,32.14,2021-10-23T12:08:59.768292
6.75,37,24.34,53.74,31,540.87,32.14,2021-10-23T12:08:59.859494
6.75,27,24.34,53.74,31,540.87,32.14,2021-10-23T12:08:59.878171
6.75,27,24.34,53.74,31,540.87,32.14,2021-10-23T12:08:59.885862
6.75,27,24.34,53.74,31,540.87,32.14,2021-10-23T12:08:59.896463
6.75,27,24.31,53.74,31,540.87,32.14,2021-10-23T12:09:00.336730
6.75,27,24.31,53.74,31,540.87,32.14,2021-10-23T12:09:00.357890
6.75,27,24.34,53.74,31,540.87,32.14,2021-10-23T12:09:00.847056
6.75,27,24.34,53.74,31,540.87,32.14,2021-10-23T12:09:00.924655
6.7,27,24.34,53.74,31,540.87,32.14,2021-10-23T12:09:00.950468
6.7,27,24.34,53.74,31,540.87,32.14,2021-10-23T12:09:01.026312
6.7,27,24.34,50.72,31,540.87,32.14,2021-10-23T12:09:01.229083
6.7,27,24.34,50.72,31,540.87,32.14,2021-10-23T12:09:01.235596
6.7,27,24.34,50.72,31,539.7,32.14,2021-10-23T12:09:01.303702
6.7,27,24.34,50.72,31,539.7,32.14,2021-10-23T12:09:01.336503
6.7,29,24.34,50.72,31,539.7,32.14,2021-10-23T12:09:01.422833
6.7,29,24.34,50.72,31,539.7,32.14,2021-10-23T12:09:01.440274
6.7,29,24.34,48.97,31,539.7,32.14,2021-10-23T12:09:01.833709
6.7,29,24.34,48.97,31,539.7,32.14,2021-10-23T12:09:01.842289
6.7,29,24.34,48.97,31,540.09,32.14,2021-10-23T12:09:01.878123
6.7,29,24.34,48.97,31,540.09,32.14,2021-10-23T12:09:01.923346
6.7,25,24.34,48.97,31,540.09,32.14,2021-10-23T12:09:01.964588
6.7,25,24.34,48.97,31,540.09,32.14,2021-10-23T12:09:01.977790
6.65,25,24.34,48.97,31,540.09,32.14,2021-10-23T12:09:02.490661
6.65,25,24.34,48.97,31,540.09,32.14,2021-10-23T12:09:02.521168
6.65,25,24.33,48.97,31,540.09,32.14,2021-10-23T12:09:02.647111
6.65,25,24.33,48.97,31,540.09,32.14,2021-10-23T12:09:02.652090
6.65,25,24.33,54.12,31,540.09,32.14,2021-10-23T12:09:03.206272
6.65,25,24.33,54.12,31,540.09,32.14,2021-10-23T12:09:03.220435
6.65,25,24.33,54.12,31,540.48,32.14,2021-10-23T12:09:03.269099
6.65,25,24.33,54.12,30,540.48,32.14,2021-10-23T12:09:03.274729
6.65,25,24.33,54.12,30,540.48,32.14,2021-10-23T12:09:03.275911
6.65,25,24.33,54.12,30,540.48,32.14,2021-10-23T12:09:03.309913
6.65,17,24.33,54.12,30,540.48,32.14,2021-10-23T12:09:03.357824
6.65,17,24.33,54.12,30,540.48,32.14,2021-10-23T12:09:03.408790
6.63,17,24.33,54.12,30,540.48,32.14,2021-10-23T12:09:04.383724
6.63,17,24.33,54.12,30,540.48,32.14,2021-10-23T12:09:04.450909
6.63,17,24.33,56.89,30,540.48,32.14,2021-10-23T12:09:04.625262
6.63,17,24.33,56.89,30,540.48,32.14,2021-10-23T12:09:04.646396
6.63,17,24.33,56.89,30,540.87,32.14,2021-10-23T12:09:04.655184
6.63,17,24.33,56.89,30,540.87,32.14,2021-10-23T12:09:04.667231
6.63,27,24.33,56.89,30,540.87,32.14,2021-10-23T12:09:04.746001
6.63,27,24.33,56.89,30,540.87,32.14,2021-10-23T12:09:04.762977
6.63,27,24.33,54.76,30,540.87,32.14,2021-10-23T12:09:05.193595
6.63,27,24.33,54.76,30,540.87,32.14,2021-10-23T12:09:05.225118
6.63,27,24.33,54.76,30,540.09,32.14,2021-10-23T12:09:05.235906
6.63,27,24.33,54.76,30,540.09,32.14,2021-10-23T12:09:05.247064
6.63,24,24.33,54.76,30,540.09,32.14,2021-10-23T12:09:05.295330
6.63,24,24.33,54.76,30,540.09,32.14,2021-10-23T12:09:05.303947
6.63,24,24.34,54.76,30,540.09,32.14,2021-10-23T12:09:05.911179
6.63,24,24.34,54.76,30,540.09,32.14,2021-10-23T12:09:05.931936
6.48,24,24.34,54.76,30,540.09,32.14,2021-10-23T12:09:06.196946
6.48,24,24.34,54.76,30,540.09,32.14,2021-10-23T12:09:06.258977
6.48,24,24.31,54.76,30,540.09,32.14,2021-10-23T12:09:06.526205
6.48,24,24.31,54.76,30,540.09,32.14,2021-10-23T12:09:06.550935
6.48,24,24.31,55.08,30,540.09,32.14,2021-10-23T12:09:06.853393
6.48,24,24.31,55.08,30,540.87,32.14,2021-10-23T12:09:06.921940
6.48,24,24.31,55.08,31,540.87,32.14,2021-10-23T12:09:06.938641
6.48,24,24.31,55.08,31,540.87,32.14,2021-10-23T12:09:06.942667
6.48,24,24.31,55.08,31,540.87,32.14,2021-10-23T12:09:06.973536
6.48,24,24.31,55.08,31,540.87,32.14,2021-10-23T12:09:06.978381
6.48,32,24.31,55.08,31,540.87,32.14,2021-10-23T12:09:07.034744
6.48,32,24.31,55.08,31,540.87,32.14,2021-10-23T12:09:07.060238
6.48,32,24.31,61.37,31,540.87,32.14,2021-10-23T12:09:07.444795
6.48,32,24.31,61.37,31,540.87,32.14,2021-10-23T12:09:07.498360
6.48,28,24.31,61.37,31,540.87,32.14,2021-10-23T12:09:07.569043
6.48,28,24.31,61.37,31,540.87,32.14,2021-10-23T12:09:07.653696
6.58,28,24.31,61.37,31,540.87,32.14,2021-10-23T12:09:07.741523
6.58,28,24.31,61.37,31,540.87,32.14,2021-10-23T12:09:07.757015
6.58,28,24.36,61.37,31,540.87,32.14,2021-10-23T12:09:08.275079
